generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1765997912-Ltq2uwCklavzBFkh50Em,2025-12-17 18:58:32.151,0,,,0,0,492,27,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,668,593,,lois
gen-1765997909-DhiX4xvu8N4CyfFyIQoW,2025-12-17 18:58:29.947,0,,,0,0,491,55,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1208,502,,lois
gen-1765997893-yxmJJdg9PViqrtS7NcEg,2025-12-17 18:58:13.112,0,,,0,0,313,46,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,867,646,,lois
gen-1765997891-MkFAixjZLG1lnd73kQPt,2025-12-17 18:58:11.639,0,,,0,0,544,32,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,690,377,,lois
gen-1765997889-r6ZC4S8kSxj2ATRFCS4M,2025-12-17 18:58:09.743,0,,,0,0,494,27,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,695,638,,lois
gen-1765997887-axrZa0MIuRItADqHHg2B,2025-12-17 18:58:07.286,0,,,0,0,490,58,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1527,546,,lois
gen-1765997575-goLzDa60qnBm8CP1j2dC,2025-12-17 18:52:55.849,0,,,0,0,715,84,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,2537,275,,lois
gen-1765997574-Gqte5hzjG5lZs1zvQVDy,2025-12-17 18:52:54.745,0,,,0,0,510,13,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,281,286,,lois
gen-1765997572-2GiRxeHKNHhSx4ox3Mdb,2025-12-17 18:52:52.876,0,,,0,0,680,84,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1319,224,,lois
gen-1765997571-w9VYTRHDL56xzI6VNeD7,2025-12-17 18:52:51.779,0,,,0,0,510,13,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,280,305,,lois
gen-1765997569-yS7ZvYRS1B5m8MooyX0L,2025-12-17 18:52:49.890,0,,,0,0,644,84,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,1330,270,,lois
gen-1765997568-Z9FpNUbBXPR595MrDeny,2025-12-17 18:52:48.905,0,,,0,0,510,13,0,google/gemma-3-27b-it,ModelRun,free,false,true,,stop,stop,295,506,,lois
